N,rel,gamma_xm,skewness,plot_type,method,coverage,outlier_se,power_std,raw_bias,raw_rse_bias,rmse,std_bias,stdMed_bias,stdMed_rse_bias,trim_bias,trim_rse_bias,type1_std,N_lab,rel_lab,gammaint_lab,skew_lab
100,0.8,0,skew,TypeI_Error,lms,0.375,12.8,0.625,0.4094420298401,-0.6068939856514795,0.5491402733918128,1.118596985078326,1.5098893250571928,-0.6406410230027599,0.44766111393083335,-0.6453163844638028,0.625,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == skew
100,0.8,0,skew,TypeI_Error,lmsfs,0.194,4.6,0.806,-0.0023106676140809998,-0.7737661072205567,0.1450500078277321,-0.015928182842173375,-0.027800177835456442,-0.8336235058551239,-0.0030959649651350007,-0.8323606119658566,0.806,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == skew
100,0.8,0,skew,TypeI_Error,tspa,0.9655,5.5,0.034499999999999975,-0.02715722334346,-0.022061186640886854,0.19083978211473984,-0.14373095013061005,-0.18462651067082017,-0.002036755819993963,-0.028521601797433335,-0.0836960121332766,0.0345,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == skew
100,0.8,0,skew,TypeI_Error,upi,0.978,10.6,0.02200000000000002,-0.07357373314103079,-0.2946635212137245,0.601509244181956,-0.12320977819926372,-0.22888283449614352,-0.09596243985818398,-0.06124018438664098,-0.6400770478175539,0.022,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == skew
100,0.8,0,symm,TypeI_Error,lms,0.9275,3.4000000000000004,0.07250000000000001,-0.003958881872805,0.08234731486674529,0.13670608281880497,-0.02896398310334794,-0.0051781860251055994,-0.06581601482287125,-0.0022984368130083335,-0.02551514757056128,0.0725,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == symm
100,0.8,0,symm,TypeI_Error,lmsfs,0.1885,3.9,0.8115,-0.0040648313338150005,-0.7469385598480662,0.1311301902802532,-0.031005589674237954,0.002396978851157089,-0.8307864353354463,-0.002292866156358333,-0.8223209061929286,0.8115,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == symm
100,0.8,0,symm,TypeI_Error,tspa,0.965,5.050000000000001,0.03500000000000003,-0.004567654319620001,-0.002797339387744957,0.1588346943530989,-0.028761988456301284,0.001079192404114901,0.0146122030538689,-0.0023233338577,-0.045853652730685424,0.035,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == symm
100,0.8,0,symm,TypeI_Error,upi,0.9925,11.1,0.007499999999999951,2.16472001411835e-4,-0.17541987000122472,0.4880163330582436,4.434644565683091e-4,-0.002173894361319427,0.046047554418411796,0.001143793880602526,-0.5814767157938294,0.0075,italic(N) == 100,rho == 0.8,\beta_{xm} == 0,Skewness == symm
100,0.8,0.3,skew,Power,lms,0.5365,10,0.787,0.17300870929581502,-0.3921375603255526,0.290440463061446,0.7414221159704955,0.8805777061895308,-0.447111551438065,0.19245356915,-0.4492873060396082,0.787,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
100,0.8,0.3,skew,Power,lmsfs,0.596,2.7,0.9545,-0.02676888248654999,-0.5706380368732975,0.14431366278080704,-0.18871964665047666,-0.1770822020282924,-0.5807201192228868,-0.02471096703333331,-0.6117185576708014,0.9545,italic(N) == 100,rho == 0.8,\beta_{xm} == 0.3,Skewness == skew
